State,Action,Q-value
"(1, 0, 4, 3, 12, 3)",,"[-1.40265358e+01  2.10000000e+01  2.10000000e+01  3.15802215e+01
  9.49920123e+01  8.41265701e+01  5.33990731e+01  2.52652920e+02
 -1.24362263e+01  1.37143288e+02  7.33316021e+01  3.19500272e+01
  1.53040004e+01  0.00000000e+00  0.00000000e+00  5.65865218e+01
  1.99500000e+01  8.36019579e+01  0.00000000e+00  7.00900640e+01
  7.31495800e+01 -2.12109363e+02  1.40424762e+02  9.17546751e+01
  5.32059446e+01  0.00000000e+00  3.32551618e+01  0.00000000e+00
 -6.03905617e+01 -8.30764070e+00  3.95005980e+01  3.65045793e+01
  9.50546891e+01  3.74453317e+00  1.03897279e+02  0.00000000e+00
  8.70282198e+01 -8.17026348e+01  2.73635506e+01  2.64370684e+02
  8.52065103e+01  4.94520211e-01 -1.83377398e+02  4.93516052e+01
 -2.52189868e+02 -3.43053232e+01  2.51209259e+01  5.12283995e+01
  3.36619428e+01 -7.65012615e+01  2.37863834e+02 -7.87795623e+01
  2.18917484e+02 -4.76258506e+01 -6.77698861e+01 -7.20343143e+01
 -5.40474095e+01 -7.94829941e+01  1.79660767e+01  2.13008113e+02
 -2.23297723e+02 -7.88838867e+01  2.72657196e+02 -7.68965999e+02
 -6.75191254e+02 -5.42675045e+02 -1.05021755e+03  2.69966439e+02
 -1.13695260e+03 -2.48756202e+03 -1.47873894e+03  4.53058131e+02]"
"(1, 0, 4, 1, 12, 2)",,"[   36.04665568    18.98425056    57.90585561   108.59622626
   336.33364578    19.16600777    61.29927348     0.
    62.07961458    76.14150153    21.50192545    62.80838454
     0.             0.            31.25225138    43.44598109
    53.68916258     0.           124.13667638     0.
     0.            66.84919521    -8.89271901    75.85353421
     0.             0.            95.81183627     0.
    46.63538827    19.45778109    87.36449488   334.0305492
   104.40143069   123.69875728    37.95086026    76.48056172
    33.02540671     0.             0.             0.
    28.3464766     75.18622691     0.            27.91175699
    50.68827542    33.4988457     36.48926031    24.50105321
    58.25365167    59.17879517     0.            54.7684107
    63.26116521    29.59726582    40.5642568     99.09876657
   145.56421782    14.99407189     0.            32.6719371
  -708.70437316 -1092.33001933  -534.33377351   619.97110543
  -738.31447449   -92.49719911  -665.94017351   212.23024395
    42.15254368   226.88726415  -567.82161341    57.89347089]"
"(1, 0, 4, 1, 12, 1)",,"[ -231.49735754  -227.59815311    18.01695957  -395.27635021
  -174.04371322  -332.05752815  -196.01138632  -226.57021879
   406.54455881  -385.02186358  -122.13352288  -475.22623396
  -161.46025303  -249.80106609  -624.61437932  -238.80913524
  -326.06516467  -490.14046551  -704.80226757   -84.82843129
  -117.03304553   -87.66071992  -352.75169633  -634.54769702
  -106.89818073    91.68333083   325.04003832   -19.10185142
  -503.03225264    69.27818395   427.85854402    95.81135012
    89.93579086   184.15470858  -272.67189967  -147.95775916
  -173.08943496  -229.49711381   -86.07212096  -168.6182371
     7.79646652   388.92842081   -50.42071544  -113.63629835
    67.02323055   -24.64745825  -472.8050126    -82.2818132
  -227.2907632   -150.54724936  -175.57844813   -44.75183097
  -247.20485995  -128.8725165    -84.3953486   -201.48479995
   -11.63289377   449.77205433   388.76580905    65.14373183
 -1590.58289044 -1213.17401488 -1577.4453335    774.99416221
 -1605.11451306 -1462.92666779   426.32501994  -914.17423886
  -876.69332877   143.10527044 -2281.09766128   621.76950073]"
"(1, 1, 4, 2, 12, 1)",,"[ 0.00000000e+00  3.67337229e+01  0.00000000e+00  2.13254822e+02
 -2.34429578e+01  1.18067445e+01  0.00000000e+00 -3.80674927e+00
  0.00000000e+00  3.92851999e+01  7.30893265e+01  6.36800376e+01
 -2.41498525e+00  0.00000000e+00  6.50868724e+01 -8.41253905e+00
  2.10000000e+01  0.00000000e+00  0.00000000e+00  6.98281704e+01
  0.00000000e+00  0.00000000e+00  5.83209012e+00  6.55342863e+00
  0.00000000e+00  0.00000000e+00  4.25433921e+01 -2.30754469e+02
 -2.40628983e+02  1.44809249e+00 -1.40255082e+01  3.21708934e+02
 -1.35835212e+01  2.34796814e+01  6.55363633e+00  0.00000000e+00
  1.41696324e+01  0.00000000e+00  1.93638760e+01  7.61573997e+00
  6.53591933e+01  5.97655006e+01  3.69290133e+01  0.00000000e+00
 -4.21557248e+00  3.82685281e+01  4.14292251e+01 -4.91136196e-01
  1.39792812e+01  0.00000000e+00  3.75145873e+01  3.72698949e+01
  0.00000000e+00  0.00000000e+00  3.08347608e+01  2.47109991e+02
  3.57318255e+01  0.00000000e+00  2.35616000e+01  0.00000000e+00
 -1.80745950e+02 -8.11287888e+01 -5.80094986e+02  4.78683684e+02
 -5.74220945e+02 -2.46539566e+02  4.45823234e+02 -3.20888008e+02
  1.82445755e+02 -5.26027644e+02  4.10239313e+01 -6.39965505e+01]"
"(1, 0, 4, 0, 12, 0)",,"[   37.00773873    36.35026234   -81.33133708   -67.25220512
   262.89967147  -130.57611246     0.             0.
   -42.54130221    65.79234953   -40.70876203   -60.78631496
   362.6244798   -366.9011664     15.03806644   -83.39728381
   -79.93190038   -19.57887821    10.64942969   249.82185478
   327.28766956   -70.53831515  -209.05866465  -406.9949038
  -668.72925287  -478.38516293  -387.81384146  -385.21135257
  -386.80200599  -119.05712848  -274.00197642  -516.3126374
  -450.72247434   153.87751935     4.08498525  -679.75434188
   142.93984669  -260.62036242   -90.36101173  -886.15866184
  -142.41804144  -252.09097604  -523.7050918   -646.95546705
  -284.96878809  -751.38119135  -730.18202172 -1003.17468771
  -517.14931359   210.57095009  -813.91210929  -361.92187826
  -493.86168335  -563.02564843  -329.8096152   -354.67246177
  -315.63368913  -300.89099534  -538.10909473   319.99360271
   110.68110092   -76.07134279   151.5238518   -693.22827971
  -891.08385206   261.04073627 -1284.88011135   134.96398238
  -561.91130924  -294.26822226 -1013.17662245   426.8203473 ]"
"(1, 1, 4, 1, 12, 1)",,"[ 226.35959183   37.70372499  -15.11546724    0.            0.
    0.            0.           75.12265125    0.           36.34219254
   36.85931805    0.            7.34568113    0.           72.28539149
   59.3047981     0.           33.42756862   64.72463566   11.57608774
  199.98105568    7.86075753   32.33753255    0.            0.
    0.            0.            0.            0.            0.
   36.43046573   29.16603574    0.            0.           33.24640333
    0.           49.82254263    0.           34.28841629  109.22988243
  231.55235753   17.80671985   38.71662405   60.81442295    0.
   17.80671985    0.            0.           39.17729054    0.
   35.86891165   10.04235457    0.            0.            0.
    0.           21.3142346    69.65133854   58.42564134    0.
  -71.70605657  -36.17688787  -19.47682443   -6.73445373 -486.86030102
   27.89790369  -75.98584964  245.3588355   131.35557791  105.11543404
 -217.06719657 -443.96593316]"
"(1, 0, 4, 0, 12, 1)",,"[  47.46819116   90.56950969    8.3594181     0.            0.
    0.         -181.34981138   61.56716692  -43.26237131    0.
   81.16324886   51.1982019    78.55769418   38.57072259  218.47068319
    0.           45.98479642  -14.75275451   91.38158792   23.44189139
   55.27423608   58.33848119   69.57988541   44.62595228  138.40700493
  176.61753981   68.12461184    0.          220.74204874    9.94618171
   81.48588858   51.82171317 -196.8483054    71.53278447   49.559521
    0.            0.           78.00452554    0.          136.52965658
   27.94227326   92.59044832   43.16054734    0.          101.11340471
   66.17148161   71.22324188   39.17509443   57.5836618    91.09770889
   55.02001987   65.38688571   45.60208014  103.80075179   62.34140215
   72.44787184   65.4604351    23.13574621  308.23001291   21.
   91.0215584   171.76061374 -302.90895422 -157.65375173 -719.24308491
  219.24636946 -772.33549604 -250.47927538   78.71713892 -292.79311344
 -295.45223998  159.28159966]"
"(1, 0, 4, 2, 12, 3)",,"[   21.            48.83988932     0.            38.98893587
   103.31072565    29.21832843    68.13294973   150.0937905
     3.13388859    46.84031513    39.02169479    31.15102691
    38.13490508    84.2426942      0.            25.90528702
    41.12701354    12.03482941     0.            71.10410685
    54.34053234    -4.04936708     0.            28.27368704
   125.5905305     30.35613364    69.40196137   -10.70544681
  -119.90373976    11.90021181     0.            74.60629062
    50.82521928    67.01712047   -11.21850485    24.26218722
    36.08953837    28.45959043    33.64222891   144.89856703
  -339.48014997    84.96067306   -44.72833481   162.16937156
  -120.51792453   282.969171     -61.93040664   -66.09379589
   -97.83293646   128.43793498   284.74998476  -175.21715839
  -390.34148617    31.73042546    89.83597055  -697.70921886
  -262.36732972  -200.11206604   -76.9824325   -185.54401679
  -130.44532008   216.43669208  -510.96534053  -207.43262065
  -622.21103422   289.6020769  -1276.79715517 -1024.51491428
  -773.21206797  -462.65692846  -313.50983021 -1441.44977658]"
"(1, 1, 4, 2, 12, 3)",,"[ 280.45934428    0.            0.            0.            0.
    0.            0.           74.4635524     0.            0.
    0.           86.99003003    1.8623483     0.            0.
   24.43520261    0.           31.70970988    0.            0.
  277.97230011    0.           38.48441397    0.            0.
    0.           36.61421085    0.            0.            0.
   70.74085939    0.           40.0665381     0.            0.
    0.            0.            0.           22.7896527    54.6316748
  206.93909894    0.           32.45239074    0.           58.26564403
    0.            0.            0.           40.44117336   24.41453488
    0.            0.            0.           31.41451724    0.
   20.24622       0.            0.            0.            0.
   35.36337997   61.22181197  192.46990152    0.         -399.26144491
 -365.17508047  -64.75562466   14.74805246 -375.22153477 -490.87910508
 -431.22695654  -51.15129551]"
"(1, 1, 4, 2, 12, 0)",,"[ 300.55315281    0.            0.            0.            0.
    0.            0.            0.           37.02472095    0.
   37.54181579    0.            0.            0.            0.
    0.            0.            0.            0.            0.
  280.82589846    0.           15.28727999    0.            0.
    0.            0.            0.            0.            0.
    0.           36.31007083    0.            0.            0.
    0.            0.            0.            0.            0.
  312.23287697    0.            0.            0.            0.
   37.86609319    0.            0.            0.            0.
    0.           37.18845734    0.            0.            0.
    0.            0.            0.            0.            0.
  -49.43142967   20.5852257   -81.9745016   336.32036327   -4.58604764
  198.64347115  -65.35233726  -28.92234416  -71.05546808  327.07829617
 -122.20256715  -49.13385212]"
