State,Action,Q-value
"(1, 1, 4, 1, 12, 2)",,"[ 399.6549125     0.           71.86803813   -8.96103722   59.0036692
    0.            0.            0.           38.1805977   -12.1859084
    0.           68.53172387   31.7163903    59.22423193    0.
   35.19266586    0.            0.            0.            0.
  401.62599648    0.           30.31725012    8.77818071   63.61813268
    0.            0.            0.           67.34108805    0.
   40.19286165    0.            0.           -4.45810717   37.90143043
   27.59338108    0.            0.            0.           46.61667483
  380.0259392    27.75175746    0.            0.            0.
   94.16533044   33.2156902     0.            0.            0.
    0.           39.75957764   80.18399865    0.           32.75860484
    0.           -0.73424076    0.            0.           33.44441398
 -126.15463975 -209.15063531  181.3212987   406.2598118   176.16644399
  -29.93326738  -86.16488448  -78.81931391  179.064532      2.49744676
    7.37680927  -96.62960485]"
"(1, 1, 4, 0, 12, 1)",,"[311.99298127   0.           0.           0.           0.
   0.           0.           0.          21.09094631   0.
   0.           0.           0.           0.           0.
   0.          10.50610706   0.           0.           0.
 300.27441521   0.           0.           0.          19.20349374
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.          16.7011044
 343.84575301   0.           0.           0.           0.
   0.           0.          35.77443699   0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.          18.21245992   0.
 286.75679261   0.          15.68102885   0.         123.69945348
  73.69456352  -8.74365917  24.9853442  268.51036526  11.50665977
   0.           0.        ]"
"(1, 1, 4, 1, 12, 0)",,"[ 252.73088033   79.64849033    4.42110624   37.62296162   36.21987285
    0.            0.           38.68158589    0.           23.01070482
   32.80290263   32.97007844    2.06745661   52.46067206    0.
   31.06720324    0.            0.            0.            0.
  219.14784961   -7.95329497    0.           -7.59531207  -33.13897814
   31.97983055   21.           -6.66765377   20.40400218   35.80349751
   67.45628287   19.53401765   36.25566961   35.20403105    4.44695406
    0.           32.10466956    0.            0.           -7.59531207
  231.74528076    2.91479837    0.            2.91479837    0.
   35.43437689   36.72362266   70.13555831   36.34792908   37.75517638
    0.            0.            0.          -14.80200119    0.
   33.90676473    0.           32.2436833    75.02955334  -28.80414523
    5.38149357   -5.88718425   67.35055745  251.80419735 -128.2699081
  251.45468323   23.19991064  -63.98696443 -236.74948145  337.90172514
   81.2262435   -44.38043339]"
"(1, 0, 4, 3, 12, 0)",,"[ 203.81149894    0.            0.            0.            0.
    0.            0.            0.            0.            2.76671607
    0.            0.            0.            0.            0.
    0.           33.92017284    0.            0.           39.12952548
  186.5277747     0.            0.           33.74775451   -1.50756186
    0.            0.            0.            0.            0.
    0.           21.            0.            0.            0.
    0.            0.            0.            0.            0.
  236.86946582    0.            0.           39.16354049    0.
    0.            6.14087021    0.            0.           34.01059945
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
 -143.89547433  -60.42148739  -64.88363511  160.63483294   94.66380982
 -142.61764887 -319.55973834 -388.87358207  -57.48260685  -36.38269541
   20.70607004  -36.91258849]"
"(1, 0, 4, 0, 12, 2)",,"[ -56.50431462   14.06324614   38.3420039     0.            0.
   20.22483372   21.            0.            0.            0.
   40.59874749   37.14800173    0.            0.            0.
   79.98198779   15.5          33.40904502    0.            0.
  -40.1170185    15.39538979    8.66980203    0.           39.39978747
    0.           21.            0.           40.3210425     0.
    0.           21.            0.           37.71477097   35.12012717
   41.28231115    0.            0.            0.           76.2484746
  -81.62359153  377.70178686   35.87629269    0.            0.
    0.           73.84219106    0.           78.29782009    0.
    0.            0.            0.            0.            0.
   70.03528083   46.92329137    0.            0.           75.34813217
    2.54592151 -286.10716125  261.83171247  451.6446425    12.11269547
  174.69545816   55.5840473   -41.04440701  -40.20667691 -282.96602484
  464.91000245   67.42075646]"
"(1, 1, 4, 0, 12, 0)",,"[ 158.99452957  128.07399901  -43.41205918   22.98170128  -47.75938931
    0.          294.61033958    0.           -9.51309123   13.24148401
 -174.6695175     0.            7.32656629    0.            0.
    0.            0.            0.            0.            0.
   67.76508199   39.08124504  -77.33230023    9.01468193  285.8504594
   67.44121693  -32.95310272  -22.69696334    1.24436554  -11.22535978
  -12.00330625  -85.44708501  -72.46143623   -8.81852894 -142.7755235
  -18.29945824    0.          -17.19857979   54.54118698 -272.83327164
 -225.85369632   -0.35279235  -73.97876294 -120.91975509   64.42307111
   -3.77814145    9.4081918   -39.06633471    0.          117.85072981
 -188.78714431   41.51029165 -123.70491359  -97.08752516   14.4152637
  -28.28286399  238.22212931  -33.59947316   66.11252134  -41.50758702
   71.57539875   37.41521279 -149.53308942 -168.23704431 -306.77250757
 -293.04147862  147.72517451   80.04243342  114.40369408   24.23670605
  -15.1010473    53.07475169]"
"(1, 1, 4, 3, 12, 0)",,"[277.42474288   0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
 286.90247036   0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
 278.3278484    0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
 175.97915125   0.           0.           0.          85.89579783
   0.           0.           0.         169.54768057   0.
   0.           0.        ]"
"(1, 1, 4, 4, 12, 2)",,"[91.28898243  0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.         81.49442358  0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.         74.46855932  0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
 55.03524842  0.          0.          0.         36.07742835  0.
  0.          0.         13.57443925  0.          0.          0.        ]"
"(1, 0, 4, 4, 12, 1)",,"[ 46.21617818   0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
  78.63229222   0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
  76.00734578   0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
  30.27844789   0.           0.           0.          10.80563332
 -24.4048484    0.           0.          19.55593872 -26.45340654
   0.           0.        ]"
"(1, 0, 4, 1, 12, 3)",,"[  -4.62754743  312.77725743    0.           32.8547765     0.
   35.8931764     0.            0.            0.            0.
    0.           36.10696786    0.            0.           36.09700633
    0.            0.            0.            0.            0.
   -4.89055866  314.74329376    0.            0.           35.92311104
    0.            0.           35.58395723    0.            0.
    0.            0.            0.           36.14206655    0.
    0.           36.99367394   33.11883686    0.            0.
   -4.82616967  248.66763175    0.            0.            0.
    0.           20.40018483    0.            0.            0.
    0.            0.            0.            0.            0.
    0.           55.64331151    0.           33.4275922    28.6366648
   -9.22294953  158.71114162  -56.13625951 -483.58807816  -16.88886527
  -45.17775331  -24.42080714   74.16525506  -14.3944194   -54.75569507
 -229.09232876  223.83268052]"
"(1, 0, 4, 4, 12, 2)",,"[ -65.29542994   60.34926391    0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
  -59.43806368   36.36561057    0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
  -78.66223217   30.99068785    0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
 -101.73399451  -24.53531864    0.            0.         -120.069295
  -44.86996731  -17.07115942  -17.7626833  -107.42102444 -241.47052489
 -160.363364    -96.29596842]"
"(1, 1, 4, 0, 12, 2)",,"[269.4423028    0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
 289.39854041   0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
 334.02424002   0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
 248.25741577   0.           0.           0.         264.3575099
   0.           0.           0.         241.4730067    0.
   0.           0.        ]"
"(1, 2, 4, 3, 12, 2)",,"[ 40.8530448    0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
  41.22493379   0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
  27.04438252   0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
  15.81654143   0.           0.           0.          -9.19176388
   0.           0.           0.          -2.35379808 -80.73155677
   0.           0.        ]"
"(1, 2, 4, 2, 12, 2)",,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
"(1, 0, 4, 0, 12, 3)",,"[282.83951061   0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
 285.59426882   0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
 309.4647584    0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
 282.74959618   0.           0.           0.         275.2683203
   0.           0.           0.         283.06228449   0.
   0.           0.        ]"
"(1, 0, 4, 2, 12, 4)",,"[ 0.         36.82990377  0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.         37.03566775  0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.         37.29709918
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.         24.71070444  0.          0.          0.         32.48436239
  0.          0.          0.         30.04198322  0.          0.        ]"
"(1, 0, 4, 1, 12, 4)",,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
"(1, 1, 4, 1, 12, 3)",,"[293.77409147   0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
 294.30529087   0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
 236.5951682    0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
 -37.04239265 -19.63766369   0.           0.          95.28525769
   0.           0.           0.          78.27120056   0.
   0.           0.        ]"
"(1, 1, 4, 4, 12, 1)",,"[63.71342836  0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.         61.97228268  0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.         63.55296891  0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
 53.85251772  0.          0.          0.         34.36145853  0.
  0.          0.         45.06549783  0.          0.          0.        ]"
"(1, 0, 4, 4, 12, 3)",,"[  0.          21.80964      0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.          16.55558463   0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           7.978894     0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.          -9.69361826   0.           0.           0.
 -16.6040336    0.           0.           0.           0.
 -64.81880699   0.        ]"
"(1, 2, 4, 1, 12, 1)",,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
"(1, 2, 4, 0, 12, 0)",,"[ 17.04899619   2.28847662   0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
  23.77114124  -4.21929977   0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
  15.66484586  -2.68815691   0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
  14.96059335   1.58878071   0.           0.          23.68788827
 -24.80902554  20.06313046   0.          26.58743904  17.53814643
   0.           0.        ]"
"(1, 1, 4, 4, 12, 3)",,"[ 30.93349268   0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
  27.58810321   0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
  27.25506914   0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
  -9.11906197   0.           0.           0.           0.
   0.         -44.94731764  19.56707332   0.           0.
 -77.52960809  18.64829317]"
"(1, 2, 4, 2, 12, 1)",,"[72.85639511  0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.         71.09246117  0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.         73.1724408   0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
 53.83322713  0.          0.          0.         48.73003199  0.
  0.          0.         52.00960381  0.          0.          0.        ]"
"(1, 1, 4, 0, 12, 3)",,"[45.27826848  0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.         45.46313687  0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.         45.46123905  0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
 45.27225125  0.          0.          0.         45.20031904  0.
  0.          0.         45.28275601  0.          0.          0.        ]"
"(1, 2, 4, 1, 12, 0)",,"[ 83.51093737   0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
  99.34056461   0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
 104.39926646   0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
  95.93301106   0.           0.           0.          75.52445736
   0.           0.           0.         126.46751723   0.
   0.           0.        ]"
"(1, 0, 4, 4, 12, 0)",,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
"(1, 0, 4, 3, 12, 4)",,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
